,,,Overall,Overall,Overall,Overall,Conference,Conference,Conference,Conference,SRS,SRS,Polls,Polls,Polls,,,
88,1935,PCC,5,7,0,.417,2,4,0,.333,4.79,3.87,,,,Howard Jones (5-7),,
89,1934,PCC,4,6,1,.409,1,4,1,.250,3.24,3.42,,,,Howard Jones (4-6-1),,
90,1933,PCC,10,1,1,.875,4,1,1,.750,19.91,5.66,,,,Howard Jones (10-1-1),,
91,1932,PCC,10,0,0,1.000,6,0,0,1.000,26.25,10.05,,,,Howard Jones (10-0),Rose Bowl-W,
92,1931,PCC,10,1,0,.909,7,0,0,1.000,28.06,11.78,,,,Howard Jones (10-1),Rose Bowl-W,
93,1930,PCC,8,2,0,.800,5,1,0,.833,19.89,4.59,,,,Howard Jones (8-2),,
94,1929,PCC,10,2,0,.833,6,1,0,.857,20.48,4.32,,,,Howard Jones (10-2),Rose Bowl-W,
95,1928,PCC,9,0,1,.950,4,0,1,.900,16.50,0.80,,,,Howard Jones (9-0-1),,
96,1927,PCC,8,1,1,.850,4,0,1,.900,15.68,0.38,,,,Howard Jones (8-1-1),,
97,1926,PCC,8,2,0,.800,5,1,0,.833,16.38,1.88,,,,Howard Jones (8-2),,
98,1925,PCC,11,2,0,.846,3,2,0,.600,12.85,-4.39,,,,Howard Jones (11-2),,
99,1924,PCC,9,2,0,.818,2,1,0,.667,11.32,-1.59,,,,Gus Henderson (9-2),Los Angeles Christmas Festival-W,
100,1923,PCC,6,2,0,.750,2,2,0,.500,6.96,-0.79,,,,Gus Henderson (6-2),,
101,1922,PCC,10,1,0,.909,3,1,0,.750,10.08,-3.92,,,,Gus Henderson (10-1),Rose Bowl-W,
